id,part,action,cylinders,details,engine
101991,ROCKER COVER GASKET,REPLACED,,,
101992,,,,"RAN, LEAK CK'ED OK",
101993,SEAL & GASKET,INSTALLED,,TORQUED & SAFETIED REATINE,
101994,ROCKER COVER GASKET,REPLACED,,,
101995,INTAKE GASKET,REPLACED,,,
101996,,INSTALLED,,NEW PLUG,
101997,GASKETS,REPLACED,,,
101998,ROCKER COVER GASKET,REPLACED,,,
101999,,REPLACED,,GASKET W/ NEW,
102000,,REPLACED,,SPRING W/ NEW,
102001,GASKET,REMOVED,,NEW,
102002,,RAN,,"MAG, IDLE RPM & IDLE MIXTURE CK GOOD. INSPECTE",
102003,GASKET,REMOVED,,NEW,
102004,,RECHECKED,,"COMPRESSIONS AFTER POST RUN, OPS CK GOOD",
102005,INTAKE GASKET,REMOVED,,NEW,
102006,ROCKER COVER GASKET,REMOVED,,,
102007,GASKET,REPLACED,,,
102008,,TIGHTENED,,ALL SCREWS,
102009,,REMOVED,,SHEARED RIVET,
102010,,REPLACED,,"UPPER BAFFLE MATERIAL RIVET, INSTALLED NEW SCR",
102011,,REMOVED,,"ROCKER COVERS, CLEANED MATING SURFACES, INSTALL",
102012,INTAKE GASKET,REMOVED,,NEW,
102013,,FOR,,CORRECTIVE ACTION,
102014,,INSTALLED,,SHEET METAL DOUBLER & STOP DRILLED,
102015,GASKET,REPLACED,,,
102016,,RESECURED,,TIE WIRE,
102017,GASKETS,REPLACED,,,
102018,,INSTALLED,,"NEW BOLT, WASHER & NUT",
102019,,TIGHTENED,,SCREW,
102020,,REMOVED,,"OLD CRACKED PATCH, RIVETED NEW PATCH ON BAFFLE",
102021,ROCKER GASKET,REPLACED,,,
102022,,PERFORMED,,,
102023,,INSPECTED,[2],INTAKE LEAK,R
102024,,RAN,,,
102025,,INSPECTED,,,
102026,,REAMED,"[1, 2, 4]",EXHAUST VALVE GUIDES,
102027,,INSTALLED,,COWL & 'MINER,
102028,BAFFLES,INSTALLED,,,
102029,,REMOVED,[3],INSTALLED REPAIRED CYL ASSY,
102030,,INSTALLED,,FASTENERS,
102031,,RAN,,UP ENGINE,
102032,INTAKE GASKET,REMOVED & REPLACED,,,
102033,ROCKER COVER GASKET,REMOVED & REPLACED,,,
102034,ROCKER COVER GASKETS,REMOVED & REPLACED,,,
102035,ROCKER COVER GASKET,REMOVED & REPLACED,[3],,L
102036,,GROUND RUN CHECKS,,GOOD,
102037,,REMOVED,,ALL 4 INJECTOR NOZZLES. ULTRASONICALLY CLEANED,
102038,,TIMED,,BOTH MAGS TO ENGINE & TORQUED HOLD DOWNS,
102039,,GROUND RAN,,A/C & FOUND NO ROUGH ENGINE,
102040,GASKET,REMOVED & REPLACED,,,
102041,GASKET,REMOVED,,,
102042,BOLT,INSTALLED,,NEW,
102043,BAFFLE SEAL,REMOVED,,,
102044,GASKET,REPLACED,,,
102045,,RUN UP,,LEAK CK GOOD,
102046,,COMPLETED,[3],"INSTALL OF #3 CYL, LINES & BAFFLES",
102047,,ATTEMPTED,,STAKING VALVES - COMPRESSION STILL 35/80,
102048,,REMOVED,[3],,
102049,INTAKE GASKETS,REMOVED & REPLACED,,,R
102050,ROCKER COVER GASKETS,REMOVED & REPLACED,,,L
102051,ROCKER COVER GASKETS,REMOVED & REPLACED,"[1, 2, 3, 4]",,R
102052,PLUG,REPLACED,,,
102053,,STOP DRILLED,,CRACK,
102054,INTAKE GASKET,REMOVED & REPLACED,,,
102055,,TIGHTENED,,SCREWS,
102056,,FABRICATED,,PATCH OF LIKE MATERIAL & INSTALLED IAW,
102057,,INSTALLED,,"NEW SCREW, CK'ED & TIGHTENED ALL ROCKER BOX C",
102058,,SWAGED,,TUBE,
102059,,LEAK CK,,GOOD,
102060,INTAKE GASKET,REMOVED & REPLACED,,W/ NEW,
102061,INTAKE GASKET,REMOVED,,REPLACED,
102062,ROCKER COVER GASKETS,REMOVED,,REPLACED,
102063,BAFFLE,REPOSITIONED,,TO CLEAR FROM ENGINE CASING,L
102064,,PUT,,IN PROPER POSITION,
102065,ROCKER COVER GASKET,REMOVED,,REPLACED,
102066,INTAKE GASKET,REPLACED,,,
102067,INTAKE GASKET,REPLACED,,,
102068,ROCKER COVER GASKET,REPLACED,,,
102069,,REPLACED,,SCREW,
102070,ROCKER COVER GASKET,REMOVED,,REPLACED,
102071,ROCKER COVER GASKET,REMOVED,,REPLACED,
102072,,FINISHED,,BAFFLE INSTALL,
102073,BAFFLE SEAL,REATTACHED,,ON TOP L/H SIDE,L
102074,,INSTALLED,,NEW BRACKET & STARTED REINSTALLING BAFFLE,
102075,,INSTALLED,,FRESH GASKET,
102076,ROCKER COVER GASKET,REMOVED,,REPLACED,
102077,INTAKE GASKET,REMOVED,[1],REPLACED,
102078,ROCKER COVER GASKETS,REMOVED,,REPLACED,
102079,ROCKER COVER GASKET,REPLACED,,,
102080,,REPLACED,,"SEALS, LEAK CK GOOD",
102081,GASKET,REMOVED,,REPLACED,
102082,GASKET,REMOVED,,REPLACED,
102083,,CLEANED,,,
102084,INTAKE GASKET,REMOVED,,REPLACED,
102085,ROCKER COVER GASKET,REMOVED,,REPLACED,
102086,ROCKER COVER GASKET,INSTALLED,,NEW,
102087,ROCKER COVER GASKET,REMOVED,,REPLACED,
102088,INTAKE GASKET,REMOVED,,REPLACED,
102089,,REPLACED,,THROTTLE LINKAGE ARM,
102090,,TIGHTENED,,LOOSE BOLT & RESAFETIED,
102091,,SECURED,,ENGINE GROUND STRAP,
102092,,STOP DRILLED,,"CRACK, FABRICATED PATCH OF LIKE MATERIAL &",
102093,,INSTALLED,,FRESH BAFFLE SEAL,
102094,INTAKE GASKETS,REMOVED,,REPLACED,R
102095,INTAKE GASKETS,REMOVED,,REPLACED,L
102096,ROCKER GASKETS,REMOVED,,REPLACED,L
102097,ROCKER COVER GASKETS,REMOVED,,REPLACED,R
102098,,LEAK CK,,OK,
102099,,REMOVED,,"OIL FILLER TUBE, TOP OIL COOLER LINE, SECURED S",
102100,,TIGHTENED,,CAP ON #3 BOTTOM SPARK PLUG,
102101,GASKETS,REMOVED,,,
102102,GASKETS,REMOVED,,,
102103,ENG INTAKE GASKETS,REMOVED,,,R
102104,,REMOVED,,TOOL,
102105,,INSTALLED,,NEW SCREW,
102106,ROCKER COVER GASKET,REMOVED,,,
102107,INTAKE GASKET,REPLACED,[2],,
102108,BAFFLE SEAL,SECURED,[3],,L
102109,BAFFLE SEALS,REPAIRED,"[2, 4]",,R
102110,INTAKE GASKET,REPLACED,,,
102111,,INSTALLED,,NEW BAFFLE PLUGS,
102112,ANCHOR ASSY,REMOVED,[1],,
102113,,DISASSEMBLED,,"AS REQUIRED, DETERMINED BAFFLE WAS PREVIOU",
102114,GASKET,REMOVED,,W/ NEW,
102115,ROCKER GASKETS,REMOVED,,,
102116,INTAKE GASKETS,REMOVED,,,
102117,,REMOVED,,STACK,
102118,INTAKE GASKET,INSTALLED,,NEW,
102119,ROCKER COVER GASKETS,REMOVED,,,
102120,,INSTALLED,,NEW SCREW,
102121,,PERFORMED,,COMPRESSION CK,
102122,GASKETS,REPLACED,,LEAK CK GOOD,
102123,,WARMED,,OPS CK'ED BOTH ENGINES NOTING N,
102124,,REMOVED,[2],REPLACED INTAKE GASKET,
102125,,REMOVED,,REPLACED INTAKES,
102126,,REMOVED,,REPLACED INTAKE GASKETS,
102127,,REMOVED,,REPLACED ROCKER COVER GASKETS,
102128,,REMOVED,,REPLACED GASKET,
102129,,REMOVED,,REPLACED STAND OFF,
102130,,REMOVED,,"DISASSEMBLED, CLEANED & INSPECTED BOOT, NO DEF",
102131,,INSTALLED,,FRESH GASKET,
102132,,REMOVED,,REPLACED INTAKE GASKET,
102133,,REMOVED,,REPLACED ROCKER COVER GASKETS,
102134,,REMOVED,,REPLACED INTAKE GASKET,
102135,,INSTALLED,,NEW INDUCTION TUBE GASKET,
102136,GASKET,REPLACED,,,
102137,PLUGS,REPLACED,,,
102138,,TIGHTENED,,,
102139,,REMOVED,,REPLACED ROCKER COVER GASKETS. LEAK CK GOOD,
102140,,STARTED,,BOTH ENGINES USING NORMAL PROCEDURES,
102141,INTAKE GASKET,REMOVED,,REPLACED,
102142,ROCKER COVER GASKET,REMOVED,,REPLACED,
102143,,RAN,,"A/C, OPS & LEAK CK GOOD",
102144,,SERVICED,,W/ 8 QTS MINERAL OIL,
102145,,DISCONNECTED,[4],,
102146,,INSTALLED,[4],PUSH RODS & LIFTED ASSY. REINSTALLED C,
102147,INTAKE GASKET,REMOVED,,REPLACED,
102148,COWL SHOCK MOUNT,REMOVED,,REPLACED,
102149,BAFFLE,REMOVED,,LOCATED & REINSTALLED,
102150,BAFFLE SCREW,REPLACED,[3],,L
102151,INTAKE GASKET,REMOVED,[3],REPLACED,L
102152,INTAKE GASKETS,REMOVED,,REPLACED,R
102153,INTAKE GASKET,INSTALLED,,NEW,
102154,INTAKE GASKET,REMOVED,[4],REPLACED,
102155,ROCKER COVER GASKET,REMOVED,[4],REPLACED,
102156,GASKET,REMOVED,,REPLACED W/ NEW,
102157,INTAKE GASKET,REMOVED,,REPLACED W/ NEW,
102158,GASKET,REMOVED,,REPLACED,
102159,INTAKE GASKET,REMOVED,,REPLACED,
102160,ROCKER COVER GASKET,REMOVED,,REPLACED,
102161,,REINSTALLED,,LOCATED,
102162,ROCKER COVER GASKET,REPLACED,,,
102163,ROCKER COVER GASKETS,REPLACED,,,
102164,AIR INLET,REPLACED,,,
102165,,INSPECTED,,NO DEFECTS NOTED,
102166,SEAL,REPLACED,,,
102167,TACH GEN,INSTALLED,,LEAK CK'ED OK,
102168,,CLEANED,,OLD GASKET,
102169,INTAKE GASKETS,INSTALLED,,NEW,
102170,INTAKE GASKETS,INSTALLED,,NEW,
102171,,REPLACED,,SPRING W/ NEW,
102172,ROCKER COVER GASKETS,REPLACED,,,
102173,INTAKE GASKET,REPLACED,,,
102174,REAR L/H BAFFLE,INSTALLED,,REPAIRED,
102175,INTAKE GASKETS,REPLACED,,TORQUED BOLTS TO SPE,
102176,GASKETS,REPLACED,,,
102177,,STOP DRILLED,,CRACK,
102178,BAFFLE SEAL,REPAIRED,,SECURED,
102179,GASKETS,REPLACED,,,
102180,GASKETS,REPLACED,,,
102181,INTAKE GASKET,REMOVED,[3],REPLACED,L
102182,INTAKE GASKETS,REMOVED,"[2, 3]",REPLACED,R
102183,ROCKER BOX COVER GASKET,INSTALLED,[3],NEW,
102184,ROCKER COVER GASKET,REMOVED,,REPLACED,
102185,ANCHOR STANDBY ASSY,REMOVED,,REPLACED,
102186,BAFFLE PLUGS,REMOVED,,REPLACED,
102187,INTAKE GASKET,REMOVED,,REPLACED,
102188,ROCKER COVER GASKET,REMOVED,,REPLACED,
102189,INTAKE GASKETS,REMOVED,,REPLACED,
102190,ROCKER COVER GASKETS,REMOVED,,REPLACED,
102191,GASKET,REMOVED,,REPLACED W/ NEW,
102192,INTAKE GASKETS,REMOVED,,REPLACED,
102193,ANCHOR ASSY,REMOVED,[2],REPLACED,
102194,BOLT,REPLACED,,MISSING,
102195,INTAKE GASKETS,REMOVED,,REPLACED,
102196,INTAKE GASKETS,INSTALLED,,NEW,
102197,ROCKER COVER GASKETS,REMOVED,,REPLACED,
102198,,STOP,,DRILLED CRACKS,
102199,INTAKE GASKET,REMOVED,[3],REPLACED,R
102200,INTAKE GASKET,REMOVED,[4],REPLACED,L
102201,TIE ROD,REPOSITIONED,,,
102202,ROCKER COVER GASKETS,REMOVED & REPLACED,"[3, 4]",,L
102203,GASKET,REMOVED & REPLACED,,,
102204,,BROUGHT,,IN HANGAR TO WARM UP. A/C STARTED,
102205,INTAKE GASKETS,REMOVED & REPLACED,,BOTH,
102206,,REPLACED,,"GASKETS, LEAK CK GOOD",
102207,SCREW,TIGHTENED,,,
102208,ROCKER SEAL,REPLACED,,,
102209,INTAKE GASKET,REMOVED & REPLACED,,W/ NEW,
102210,,INSTALLED,,NEW #3 INDUCTION TUBE GASKET,
102211,ROCKER COVER GASKETS,REMOVED & REPLACED,,,
102212,ROCKER COVER GASKETS,REMOVED & REPLACED,,,
102213,ROCKER COVER GASKET,REMOVED & REPLACED,,,
102214,OIL DIPSTICK,REMOVED,,"INSTALLED BAFFLE SCREW, REINSTALL",
102215,ROCKER COVER GASKET,REMOVED & REPLACED,[1],,
102216,ROCKER COVER GASKET,REMOVED & REPLACED,[2],,
102217,,LEAK CK GOOD,,,
102218,TIE ROD,REPLACED,,W/ NEW,
102219,,INSTALLED,,NEW ROCKER BOX COVER GASKET,
102220,,REMOVED,,LEAKING BOLT. CLEANED & SEALED. REINSTALLED BOLT,
102221,INTAKE GASKET,REMOVED,[1],REPLACED,
102222,,LEAK,,CK GOOD,
102223,OIL LINE,DISCONNECTED,,REMOVED & REPLACED B,
102224,,REMOVED,,REPLACED ALL ROCKER COVER GASKETS,R
102225,INTAKE GASKET,INSTALLED,[2],NEW,
102226,,REPLACED,,"GASKET, CLEANED AREA",
102227,,REMOVED,,REPLACED GASKET,
102228,BAFFLE PLUG HOLE DOUBLER,INSTALLED,,FABRICATED FROM LIKE,
102229,INTAKE GASKET,REMOVED,,REPLACED,
102230,INTAKE GASKET,REMOVED,,REPLACED,
102231,BAFFLE PLUG,INSTALLED,,NEW BAFFLE PLUG,L
102232,ROCKER COVER GASKET,REMOVED,[2],REPLACED,
102233,COWL SHOCK MOUNT,REMOVED,,REPLACED,
102234,,RAN,,"ENGINES - PROBLEM IS ON L/H ENGINE, RUNNING RATHER",L
102235,CARBURETOR,REMOVED,,INSTALLED CARBURETOR,L
102236,ENGINE BAFFLE SCREW,REPLACED,,,
102237,INTAKE GASKET,INSTALLED,,NEW,
102238,,FOUND,,"TO BE FACTORY INSTALLED, NO FURTHER ACTION REQUIR",
102239,INTAKE GASKET,REMOVED,[4],REPLACED ON L/H ENGINE,L
102240,INTAKE GASKET,REMOVED,[3],REPLACED ON R/H ENGINE,R
102241,ROCKER COVER GASKET,REMOVED,[3],REPLACED,L
102242,,REMOVED,,"BROKEN END, RETHREADED & SECURED",
102243,,INSTALLED,,NEW BARREL NUT & SCREW,
102244,,REMOVED,,REPLACED GASKET W/ NEW,
102245,,REPLACED,,MISSING BOLT,
102246,,REMOVED,,REPLACED GASKETS,
102247,,REMOVED,,"BAFFLE FROM ENGINE, FABRICATED PATCH FROM LIKE",
102248,,REMOVED,"[2, 3, 4]",REPLACED GASKETS ON INTAKES,L
102249,,REMOVED,"[2, 3, 4]",REPLACED GASKETS ON INTAKES,R
102250,,REMOVED,,SCREWS,
102251,,INSTALLED,,NEW ROCKER COVER GASKET,
102252,,REMOVED,,REPLACED GASKET,
102253,,REMOVED,,REPLACED GASKET,
102254,,REMOVED,,REPLACED GASKET,
102255,,REPLACED,,MISSING SCREW,
102256,ROCKER GASKET,REMOVED,[4],REPLACED,
102258,ROCKER COVER GASKET,REMOVED,[3],REPLACED,L
102259,,TIGHTENED,,TIE ROD,
102260,,CRACK HAS BEEN,,PREVIOUSLY STOP DRILLED,
102261,INTAKE GASKET,REPLACED,[4],,R
102262,INTAKE GASKET,REPLACED,[3],,R
102263,INTAKE GASKET,REPLACED,[3],,L
102265,,REPLACED,,LEAK CK GOOD,
102266,ROCKER COVER GASKETS,REPLACED,,LEAK CK GOOD,
102267,GASKET,REPLACED,,,
102268,GASKET,REPLACED,,,
102269,ROCKER COVER GASKETS,REPLACED,,,
102270,INTAKE GASKET,REPLACED,,,
102271,GASKETS,REPLACED,,,
102272,,INSTALLED,,SCREWS & NUTS,
102273,ROCKER COVER GASKETS,REPLACED,,,
102274,GASKET,REPLACED,,,
102275,,STOP DRILLED,,,
102276,,INSTALLED,,NEW #3 & 4 ROCKER BOX COVER GASKET,
102277,,INSTALLED,,NEW INTAKE GASKETS,
102278,BAFFLE,STOP DRILLED,,,
102279,,INSTALLED,,NEW ROCKER COVER GASKETS,
102280,,FABRICATED,,PATCH OF LIKE MATERIAL & RIVETED IAW,
102281,,RAN,,MAG CHECKS GOOD & LEAK CK GOOD,
102282,MAGNETOS,REMOVED,,FOR INSPECTION. NO DEFECTS NOTED,
102283,ENGINE SIDE BAFFLE,INSTALLED,,ROUTED OIL LINES & SE,R
102284,MAGNETOS,INSTALLED,,TIMED & TORQUED TO SPECS. INST,
102285,ROCKER COVER GASKETS,REMOVED & REPLACED,,,
102286,,RAN,,NO DEFECTS NOTED. MAG DROPS 100 RPM,
102287,ROCKER COVER GASKETS,REMOVED & REPLACED,,,
102288,ROCKER COVER GASKET,REMOVED & REPLACED,,,
102289,,LEAK CK,,GOOD,
102290,,LEAK CK,,GOOD,
102291,GASKETS,REPLACED,,,
102292,ROD,REMOVED & REPLACED,,,
102293,ROCKER COVER GASKET,REMOVED & REPLACED,,,
102294,INTAKE GASKETS,REMOVED & REPLACED,,,
102295,ROCKER COVER GASKET,REMOVED & REPLACED,,,
102296,INTAKE GASKETS,REMOVED & REPLACED,,LEAK CK GOOD,
102297,INTAKE GASKETS,REMOVED & REPLACED,,,
102298,ROCKER COVER GASKET,REMOVED & REPLACED,,,
102299,ROCKER COVER GASKETS,REMOVED & REPLACED,,,
102300,ROCKER COVERS GASKETS,REMOVED & REPLACED,,,
102301,BAFFLE TIE,REPLACED,,,
102302,TIE ROD,REPLACED,,,
102303,GASKETS,REPLACED,,,
102304,,STOP DRILLED,,,
102305,GASKETS,REPLACED,,,
102306,,,,OVERSPEED TO BE 2778. C/W,
102307,,,,"MOMENTARY RPM OF 2733.7, COMP",
102308,,INSTALLED,,NEW SCREW,
102309,,INSTALLED,,NEW GASKET,
102310,,INSTALLED,"[3, 4]",NEW GASKETS ON INTAKE PIPES,
102311,,INSTALLED,"[2, 3, 4]",NEW GASKETS ON ROCKER COVERS,
102312,,INSTALLED,,NEW PLUGS,
102313,INTAKE GASKET,REPLACED,,,
102314,BAFFLE RUBBER SEAL,SECURED,,,
102315,GASKET,REPLACED,,W/ NEW,
102316,,INSTALLED,,SCREWS & NUTS ON SUPP,
102317,,SECURED,,R/H & L/H BAFFLE SEAL,
102318,,STOP DRILLED,,CRACK,
102319,,ORDERED,,NEW INTAKE TUBE @ SUMP,
102320,,RESWAGED,,TUBE & REINSTALLED W/ NEW GASKET. LEAK CK'ED,
102321,ROCKER COVER GASKET,REMOVED,,REPLACED,
102322,BAFFLE PLUG,REMOVED,,REPLACED,R
102323,SCREW,TIGHTENED,,,
102324,,STOP DRILLED,,CRACK,
102325,,ORDERED,,NEW BAFFLE,
102326,,INSTALLED,[3],NEW AFT BAFFLE,
102327,GASKET,REPLACED,,,
102328,,LEAK CK,,PROP OIL LINE - GOOD,
102329,BAFFLE W/ REPAIRED ASSY,REPLACED,,,
102330,,REMOVED,,REPLACED INTAKE GASKETS,
102331,ROCKER COVER GASKET,REMOVED,,REPLACED,
102332,,REMOVED,,REPLACED INTAKE GASKETS,
102333,ROCKER COVER GASKETS,REMOVED,,REPLACED,
102334,BAFFLE PLUG,INSTALLED,,NEW,
102335,SCREW,INSTALLED,,NEW,
102336,,REMOVED,,REPLACED INTAKE GASKETS,
102337,,DISCONNECTED,,"OIL PRESSURE LINE, REMOVED BAFFLE, REATTAC",
102338,BAFFLE PLUG,INSTALLED,,NEW,
102339,GASKETS,REPLACED,,,
102340,ROCKER COVER GASKETS,REMOVED,"[1, 2, 3, 4]",REPLACED,
102341,ROCKER COVER GASKETS,REMOVED,,REPLACED,
102342,INTAKE GASKETS,REMOVED,"[1, 2, 3, 4]",REPLACED,
102343,BAFFLE SEAL,RESECURED,,,
102344,ROCKER COVER GASKET,REMOVED,,REPLACED,
102345,INTAKE GASKET,REMOVED,,REPLACED,
102346,INTAKE GASKETS,REMOVED,,REPLACED,
102347,ROCKER COVER GASKET,REMOVED,,REPLACED,
102348,,REPLACED,,GASKETS,
102349,COWLING,REMOVED,,AS REQUIRED. INSPECTED - SET RESET ARM,
102350,ROCKER COVER GASKET,REMOVED,,REPLACED,
102351,#2 INTAKE GASKET TUBE & FLANGE,REMOVED,,REPLACED,
102352,INTAKE GASKET,REMOVED,[2],REPLACED,L
102353,,STOP DRILLED,,CRACK. REPAIRED BY PATCHING. RIVETED IAW A,
102354,,REPLACED,,"GASKET, LEAK CK GOOD",
102355,,APPLIED,,HIGH TEMP RTV FOR CHAFE PROTECTION,
102356,,TIGHTENED,,THROTTLE INTERCONNECT,
102357,,ADJUSTED,,"IDLE RPM, OPS CK GOOD. MX FLIGHT REQUIRED",
102358,#2 INTAKE GASKET,REMOVED,,REPLACED,
102359,#3 ROCKER COVER GASKET,REMOVED,,REPLACED,
102360,CONNECTING ROD,REMOVED,,REPLACED,
102361,GASKET,REMOVED,,,
102362,ADEL CLAMPS,REPLACED,,,
102363,INTAKE GASKET,REMOVED,,,
102364,ROCKER COVER GASKET,REMOVED,,,
102365,ROCKER COVER,REMOVED,,,
102366,CYL INTAKE GASKET,REMOVED,,,
102367,,INSTALLED,,NEW,
102368,GASKET,REMOVED,,,
102369,BAFFLE,INSTALLED,,,
102370,,STOP DRILLED,,,
102371,INTAKE GASKET,REMOVED,,,
102372,ROCKER COVER GASKET,REMOVED,,,
102373,GASKET,REMOVED,,,
102374,GASKET,REMOVED,,,
102375,GASKET,REMOVED,,,
102376,GASKETS,REMOVED,,,
102377,TIE ROD,REPLACED,,,
102378,EXHAUST VALVE,STAKED,,,
102379,,STOP DRILLED,,,
102380,BAFFLE SCREW,REPLACED,,,
102381,INTAKE TUBE GASKET,INSTALLED,[3],NEW,
102382,BAFFLES,STARTED TO REMOVE,,,
102383,EXHAUST STACK,INSTALLED,[4],,
102384,CYL ASSY,REMOVED,[4],OIL COOLER & INSTALLED REPAIRED,
102385,ROCKER COVER GASKET,REMOVED & REPLACED,[1],,
102386,BAFFLE,STOP DRILLED,,,
102387,ROCKER COVER GASKET,INSTALLED,,NEW,
102388,ROCKER COVER GASKETS,REMOVED & REPLACED,"[2, 3, 4]",,
102389,INTAKE GASKET,REMOVED & REPLACED,,,
102390,INTAKE GASKET,REMOVED & REPLACED,[4],,
102391,GASKET,REMOVED & REPLACED,,W/ NEW,
102392,ROCKER COVER GASKETS,REMOVED & REPLACED,,,
102393,CYL ANCHOR ASSY,REMOVED & REPLACED,[2],,
102394,GASKET,REMOVED & REPLACED,,,
102395,GASKET,REMOVED & REPLACED,,,
102396,ROCKER COVER GASKETS,REMOVED & REPLACED,,,
102397,INTAKE GASKETS,REMOVED & REPLACED,,,
102398,INTAKE GASKETS,REMOVED & REPLACED,,,
102399,ROCKER COVER GASKET,REMOVED & REPLACED,,,
102400,ROCKER COVER GASKETS,REMOVED & REPLACED,,,
102401,GASKET,REPLACED,,,
102402,GASKET,REPLACED,,,
102403,,FASTENED,,,
102404,GASKETS,REPLACED,,,
102405,COVER GASKETS,REPLACED,"[3, 4]",,
102406,BAFFLE SEAL,REMOVED & REPLACED,,,
102407,INTAKE GASKET,REMOVED & REPLACED,,,
102408,ROCKER COVER GASKET,REMOVED & REPLACED,,,
102409,ROCKER COVER GASKETS,REMOVED & REPLACED,,,
102410,,RAN,,,
102411,,RAN,,,
102412,,REMOVED,,CK'ED EXHAUST VALVES FOR BINDING,
102413,GASKET,REPLACED,,,
102414,SECTION OF SEAL,REPLACED,,,
102415,ROCKER GASKETS,REPLACED,all,,
102416,BAFFLE,REMOVED & REPLACED,,,
102417,ROCKER COVER GASKET,REMOVED & REPLACED,[4],,
102418,INTAKE GASKETS,REMOVED & REPLACED,[1],,R
102419,GASKET,REPLACED,,,
102420,,REPAIRED,,,
102421,ROCKER COVER GASKETS,REPLACED,"[1, 4]",,
102422,INTAKE GASKET,REPLACED,,,
102423,ROCKER COVER GASKET,REPLACED,[4],,
102424,INTAKE GASKET,REPLACED,[4],CLEANED CYL FLANGE,
102425,GASKET,REPLACED,,,
102426,BAFFLE PLUG,INSTALLED,,NEW,
102427,ROCKER COVER GASKET,REPLACED,[2],,
102428,SCREW,INSTALLED,,NEW GASKET & SAFETIED OI,
102429,,STOP DRILLED,,,
102430,,,,CLEANED BOTH SNIFFLE VALVES,
102431,GASKETS,REPLACED,,,
102432,CYL INTAKE GASKET,REPLACED,[4],,
102433,ROCKER COVER GASKET,REPLACED,[3],,
102434,ROCKER COVER GASKETS,REPLACED,"[2, 4]",,R
102435,RIVETS,INSTALLED,,NEW TO ENGINE,
102436,INTAKE GASKET,REPLACED,,,
102437,ROCKER COVER GASKET,REPLACED,,,
102438,INTAKE GASKET,REPLACED,[4],,
102439,,RECONNECTED,,SPRING,
102440,BAFFLE PATCH & PLUG,INSTALLED,,,
102441,,REMOVED,,FOD,
102442,,REMOVED,,WRENCH,
102443,,UN-COVERED,,PLACARD,
102444,,REPLACED,,INSTAKE GASKET,
102445,,REPLACED,[3],ROCKER COVER GASKET,
102446,,STARTED,,A/C NORMALLY,
102447,,REPLACED,,GASKET,
102448,,REPLACED,,GASKETS,
102449,,REPLACED,,INTAKE GASKETS,R
102450,,REPLACED,,INTAKE GASKETS,L
102451,,REPLACED,[2],PUSH ROD SEALS & RETAINER,
102452,,REPLACED,,ROCKER COVER GASKETS,L
102453,,PERFORMED,,ENGINE COMPRESSIONS,
102454,,SECURED,,BAFFLE SEAL W/ SAFETY WIRE,
102455,,SECURED,,BAFFLE SEAL W/ SAFETY WIRE,
102456,,REPOSITIONED,,CYL BAFFLE & APPLIED SPIRAL WRAP TO OIL RE,
102457,,REPLACED,,SCREW,
102458,,REPLACED,[4],CYL INTAKE GASKET,R
102459,,REPLACED,[2],INTAKE GASKET,L
102460,,REPLACED,[1],INTAKE GASKET & PRIMER LINE CLAMP,
102461,BAFFLE REINFORCEMENT ANGLE,REMOVED,,,
102462,DRAIN LINE,TIGHTENED,,,
102463,BAFFLE,REMOVED,,,
102464,GASKET,REPLACED,,,
102465,INTAKE GASKET,REMOVED,[2],,
102466,INDUCTION GASKET,INSTALLED,[2],NEW,
102467,BAFFLE,STOP DRILLED,[3],,
102468,BAFFLE SCREW,INSTALLED,,NEW,
102469,INTAKE GASKET,REMOVED,,,
102470,ROCKER COVER GASKET,REMOVED,,,
102471,BAFFLE,STOP DRILLED,,,
102472,ROCKER COVER GASKETS,REMOVED,,,
102473,INTAKE GASKETS,REMOVED,"[2, 3]",,
102474,LINE & FUEL PUMP,INSPECTED,,OK,
102475,TIE ROD & RETURN LINES,ADJUSTED,,,
102476,RETURN LINE,INSPECTED,,,
102477,,RAN,,A/C OK FOR FURTHER,
102478,,STOP DRILLED,,"CRACK, INSTALLED PATCH SAME MATERIAL IAW A",
102479,GASKET,REPLACED,,,
102480,LINE,REPOSITIONED,,,
102481,ROCKER COVER GASKETS,REMOVED,"[3, 4]",REPLACED,
102482,GASKET,REPLACED,,,
102483,GASKET,REPLACED,,,
102484,INDUCTION TUBE GASKET,INSTALLED,[3],NEW,
102485,ROCKER COVER GASKET,REMOVED,[2],REPLACED,
102486,ROCKER COVER GASKETS,REMOVED,,REPLACED,
102487,NUT,REPLACED,,,
102488,LOWER RIGHT FWD BAFFLE,PATCHED,,,
102489,BAFFLE,PATCHED,[4],STOP DRILLED CRACK,
102490,BAFFLING,INSTALLED,,,
102491,ENGINE,DISASSEMBLED,,,
102492,CRANKSHAFT,INSTALLED,,,
102493,ENGINE,STARTED,,ASSEMBLY OF IAW DIRECT DRIVE MANUAL,
102494,CYLINDERS,HONED,,CLEANED & MEASURED (MEASURE GOOD),
102495,PISTONS,INSTALLED,"[1, 2, 3, 4]",,
102496,CASE HALF,RETORQUE,,CLEANED & INSTALLED NECESSARY GEARS,
102497,ACCESSORY CASE,INSTALLED,,,
102498,FUEL & OIL PRESSURE LINES,INSTALLED,,,
102499,INTAKE GASKET,REMOVED,[2],REPLACED,
102500,GASKET,REPLACED,,,
102501,PLUG,REMOVED,,NEW,
102502,INTAKE GASKET,REMOVED,[2],,
